dataset,seed,status,algo,model,pipeline,base_f1,act_f1,gain,f1_gain_pct,base_stop_epoch,act_stop_epoch,base_best_val_f1,act_best_val_f1,transport_error_fro_mean,transport_error_logeuc_mean,bridge_cond_A_mean,metric_preservation_error_mean,safe_radius_ratio_mean,manifold_margin_mean,host_geom_cosine_mean,host_conflict_rate,candidate_total_count,aug_total_count,requested_k_dir,effective_k_dir,safe_clip_rate,template_usage_entropy,top_template_concentration,direction_bank_source,utilization_mode,core_training_mode,aug_train_ratio,multi_template_pairs,template_selection,effective_k_dir_zpia,u_perp_norm_ratio_mean,u_perp_zero_rate,zpia_z_dim,zpia_n_train,zpia_n_train_lt_z_dim,zpia_row_norm_min,zpia_row_norm_max,zpia_row_norm_mean,zpia_fallback_row_count,telm2_recon_last,telm2_recon_mean,telm2_recon_std,method_arm,fail_reason
atrialfibrillation,3,success,zpia_top1_pool,resnet1d,act,0.1666666666666666,0.2131868131868131,0.0465201465201465,27.912071164845216,30.0,30.0,0.5555555555555555,0.5555555555555555,0.000128253779086,0.0323802993196803,1.0684682487906456,0.1175789430290655,0.2728300149582497,0.8437962467856865,0.0137680871412158,0.5,120.0,120.0,10,10,,1.5454229031885935,0.25,zpia_top1_pool,core_concat,concat_all,10.0,1.0,anchor_top_abs_response,10.0,0.0,0.0,3.0,12.0,False,1.0,1.0,1.0,0.0,0.2480053213535128,0.2473399434098298,0.0043627584516276,csta_top1_repeated,
ering,1,success,zpia_top1_pool,resnet1d,act,0.5424850558740912,0.7680095553925287,0.2255244995184374,41.57247384125306,24.0,28.0,0.7777777777777777,0.7777777777777777,0.0001812670903862,0.0013172430633053,1.094065935986723,0.1455256049814176,0.2135878949450524,1.0850636769840405,-0.0059423893690109,0.5208333333333334,240.0,240.0,10,10,,2.094729047518648,0.1666666666666666,zpia_top1_pool,core_concat,concat_all,10.0,1.0,anchor_top_abs_response,10.0,0.0,0.0,10.0,24.0,False,1.0,1.0,1.0,0.0,0.323908626804241,0.3384924606380963,0.0053674422524026,csta_top1_repeated,
ering,2,success,zpia_top1_pool,resnet1d,act,0.848105426301868,0.8575759304676632,0.0094705041657952,1.1166657770868416,30.0,29.0,0.7777777777777778,1.0,0.0001810206854377,0.001301535997178,1.0859852112058097,0.134902467922912,0.2204065076470817,1.0484200830955133,-0.0329384878277778,0.5625,240.0,240.0,10,10,,1.672221458469453,0.375,zpia_top1_pool,core_concat,concat_all,10.0,1.0,anchor_top_abs_response,10.0,0.0,0.0,10.0,24.0,False,1.0,1.0,1.0,0.0,0.3222339555125668,0.3261402467539024,0.0143436075719679,csta_top1_repeated,
ering,3,success,zpia_top1_pool,resnet1d,act,0.8501737413578302,0.8958099558938794,0.0456362145360491,5.367868583578462,30.0,22.0,0.7777777777777778,1.0,0.0001809008103396,0.0013505171841899,1.0760579168660267,0.12853178295095,0.2147860118651609,1.0999095086492523,-0.0341882742941379,0.5416666666666666,240.0,240.0,10,10,,1.7347432485622734,0.4166666666666667,zpia_top1_pool,core_concat,concat_all,10.0,1.0,anchor_top_abs_response,10.0,0.0,0.0,10.0,24.0,False,1.0,1.0,1.0,0.0,0.286704659174984,0.2865740186565553,0.0164677153455645,csta_top1_repeated,
handmovementdirection,1,failed,zpia_top1_pool,resnet1d,act,,,,,,,,,,,,,,,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,csta_top1_unique,multi-template pools require an even --multiplier for +/- template slots.
handmovementdirection,2,failed,zpia_top1_pool,resnet1d,act,,,,,,,,,,,,,,,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,csta_top1_unique,multi-template pools require an even --multiplier for +/- template slots.
handmovementdirection,3,failed,zpia_top1_pool,resnet1d,act,,,,,,,,,,,,,,,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,csta_top1_unique,multi-template pools require an even --multiplier for +/- template slots.
racketsports,1,failed,zpia_top1_pool,resnet1d,act,,,,,,,,,,,,,,,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,csta_top1_unique,multi-template pools require an even --multiplier for +/- template slots.
racketsports,2,failed,zpia_top1_pool,resnet1d,act,,,,,,,,,,,,,,,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,csta_top1_unique,multi-template pools require an even --multiplier for +/- template slots.
racketsports,3,failed,zpia_top1_pool,resnet1d,act,,,,,,,,,,,,,,,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,csta_top1_unique,multi-template pools require an even --multiplier for +/- template slots.
handwriting,1,failed,zpia_top1_pool,resnet1d,act,,,,,,,,,,,,,,,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,csta_top1_unique,multi-template pools require an even --multiplier for +/- template slots.
handwriting,2,failed,zpia_top1_pool,resnet1d,act,,,,,,,,,,,,,,,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,csta_top1_unique,multi-template pools require an even --multiplier for +/- template slots.
handwriting,3,failed,zpia_top1_pool,resnet1d,act,,,,,,,,,,,,,,,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,csta_top1_unique,multi-template pools require an even --multiplier for +/- template slots.
natops,1,failed,zpia_top1_pool,resnet1d,act,,,,,,,,,,,,,,,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,csta_top1_unique,multi-template pools require an even --multiplier for +/- template slots.
natops,2,failed,zpia_top1_pool,resnet1d,act,,,,,,,,,,,,,,,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,csta_top1_unique,multi-template pools require an even --multiplier for +/- template slots.
natops,3,failed,zpia_top1_pool,resnet1d,act,,,,,,,,,,,,,,,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,csta_top1_unique,multi-template pools require an even --multiplier for +/- template slots.
racketsports,1,failed,zpia_top1_pool,resnet1d,act,,,,,,,,,,,,,,,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,csta_top1_unique,multi-template pools require an even --multiplier for +/- template slots.
racketsports,2,failed,zpia_top1_pool,resnet1d,act,,,,,,,,,,,,,,,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,csta_top1_unique,multi-template pools require an even --multiplier for +/- template slots.
racketsports,3,failed,zpia_top1_pool,resnet1d,act,,,,,,,,,,,,,,,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,csta_top1_unique,multi-template pools require an even --multiplier for +/- template slots.
japanesevowels,1,failed,zpia_top1_pool,resnet1d,act,,,,,,,,,,,,,,,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,csta_top1_unique,multi-template pools require an even --multiplier for +/- template slots.
japanesevowels,2,failed,zpia_top1_pool,resnet1d,act,,,,,,,,,,,,,,,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,csta_top1_unique,multi-template pools require an even --multiplier for +/- template slots.
japanesevowels,3,failed,zpia_top1_pool,resnet1d,act,,,,,,,,,,,,,,,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,csta_top1_unique,multi-template pools require an even --multiplier for +/- template slots.
atrialfibrillation,1,failed,zpia_top1_pool,resnet1d,act,,,,,,,,,,,,,,,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,csta_top1_unique,multi-template pools require an even --multiplier for +/- template slots.
atrialfibrillation,2,failed,zpia_top1_pool,resnet1d,act,,,,,,,,,,,,,,,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,csta_top1_unique,multi-template pools require an even --multiplier for +/- template slots.
atrialfibrillation,3,failed,zpia_top1_pool,resnet1d,act,,,,,,,,,,,,,,,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,csta_top1_unique,multi-template pools require an even --multiplier for +/- template slots.
ering,1,failed,zpia_top1_pool,resnet1d,act,,,,,,,,,,,,,,,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,csta_top1_unique,multi-template pools require an even --multiplier for +/- template slots.
ering,2,failed,zpia_top1_pool,resnet1d,act,,,,,,,,,,,,,,,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,csta_top1_unique,multi-template pools require an even --multiplier for +/- template slots.
ering,3,failed,zpia_top1_pool,resnet1d,act,,,,,,,,,,,,,,,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,csta_top1_unique,multi-template pools require an even --multiplier for +/- template slots.
handmovementdirection,1,failed,zpia_top1_pool,resnet1d,act,,,,,,,,,,,,,,,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,csta_random1,multi-template pools require an even --multiplier for +/- template slots.
handmovementdirection,2,failed,zpia_top1_pool,resnet1d,act,,,,,,,,,,,,,,,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,csta_random1,multi-template pools require an even --multiplier for +/- template slots.
handmovementdirection,3,failed,zpia_top1_pool,resnet1d,act,,,,,,,,,,,,,,,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,csta_random1,multi-template pools require an even --multiplier for +/- template slots.
racketsports,1,failed,zpia_top1_pool,resnet1d,act,,,,,,,,,,,,,,,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,csta_random1,multi-template pools require an even --multiplier for +/- template slots.
racketsports,2,failed,zpia_top1_pool,resnet1d,act,,,,,,,,,,,,,,,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,csta_random1,multi-template pools require an even --multiplier for +/- template slots.
racketsports,3,failed,zpia_top1_pool,resnet1d,act,,,,,,,,,,,,,,,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,csta_random1,multi-template pools require an even --multiplier for +/- template slots.
handwriting,1,failed,zpia_top1_pool,resnet1d,act,,,,,,,,,,,,,,,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,csta_random1,multi-template pools require an even --multiplier for +/- template slots.
handwriting,2,failed,zpia_top1_pool,resnet1d,act,,,,,,,,,,,,,,,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,csta_random1,multi-template pools require an even --multiplier for +/- template slots.
handwriting,3,failed,zpia_top1_pool,resnet1d,act,,,,,,,,,,,,,,,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,csta_random1,multi-template pools require an even --multiplier for +/- template slots.
natops,1,failed,zpia_top1_pool,resnet1d,act,,,,,,,,,,,,,,,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,csta_random1,multi-template pools require an even --multiplier for +/- template slots.
natops,2,failed,zpia_top1_pool,resnet1d,act,,,,,,,,,,,,,,,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,csta_random1,multi-template pools require an even --multiplier for +/- template slots.
natops,3,failed,zpia_top1_pool,resnet1d,act,,,,,,,,,,,,,,,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,csta_random1,multi-template pools require an even --multiplier for +/- template slots.
racketsports,1,failed,zpia_top1_pool,resnet1d,act,,,,,,,,,,,,,,,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,csta_random1,multi-template pools require an even --multiplier for +/- template slots.
racketsports,2,failed,zpia_top1_pool,resnet1d,act,,,,,,,,,,,,,,,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,csta_random1,multi-template pools require an even --multiplier for +/- template slots.
