dataset,seed,status,algo,model,pipeline,base_f1,act_f1,gain,f1_gain_pct,base_stop_epoch,act_stop_epoch,base_best_val_f1,act_best_val_f1,transport_error_fro_mean,transport_error_logeuc_mean,bridge_cond_A_mean,metric_preservation_error_mean,safe_radius_ratio_mean,manifold_margin_mean,host_geom_cosine_mean,host_conflict_rate,candidate_total_count,aug_total_count,requested_k_dir,effective_k_dir,safe_clip_rate,template_usage_entropy,top_template_concentration,direction_bank_source,method_arm
racketsports,3,success,lraes,resnet1d,act,0.8843719087962982,0.8975308641975308,0.0131589554012325,1.4879434525684476,30,30,0.9705882352941176,0.9105263157894736,0.00022176861287,0.0001230123351716,1.1002237000825,0.1579368515614372,0.9999999999899998,2.1508125271014964,0.0,0.0,1200,1200,10,10,0.0,0.0,0.0,lraes,random1_baseline
japanesevowels,1,success,lraes,resnet1d,act,0.9561456014766324,0.984463290659232,0.0283176891825996,2.9616500015496605,30,20,0.9452769452769452,0.9813519813519817,0.000315566197081,2.4626486734589985,1.2049607806954177,0.3201153041902521,0.9999999999899998,5.394679395933378,0.0,0.0,2160,2160,10,10,0.0,0.0,0.0,lraes,random1_baseline
japanesevowels,2,success,lraes,resnet1d,act,0.9741476029508114,0.9839336399933306,0.0097860370425192,1.004574256334655,30,30,1.0,1.0,0.0003153505483394,2.4439967343180795,1.2005595141749452,0.3154349923593565,0.9999999999899998,5.356552201176861,0.0,0.0,2160,2160,10,10,0.0,0.0,0.0,lraes,random1_baseline
japanesevowels,3,success,lraes,resnet1d,act,0.9681596726696928,0.9890007799968686,0.0208411073271757,2.1526516506368067,30,30,1.0,1.0,0.0003153944389552,2.4441397654807115,1.2052158196935183,0.3204432818325227,0.9999999999899998,5.378469108461614,0.0,0.0,2160,2160,10,10,0.0,0.0,0.0,lraes,random1_baseline
atrialfibrillation,1,success,lraes,resnet1d,act,0.2164502164502164,0.2136752136752136,-0.0027750027750027,-1.2820506897438668,30,18,0.5555555555555555,0.5555555555555555,0.0001287952792372,0.0269875889007787,1.080762959819704,0.1335009413568328,0.9999999999899996,1.0436398830928968,0.0,0.0,120,120,10,9,0.0,0.0,0.0,lraes,random1_baseline
atrialfibrillation,2,success,lraes,resnet1d,act,0.3205128205128205,0.125,-0.1955128205128205,-60.99998096800594,28,30,0.5555555555555555,1.0,0.000128301498094,0.0331427548035433,1.0778998655223926,0.1288125635038347,0.9999999999899996,1.0337744315478616,0.0,0.0,120,120,10,9,0.0,0.0,0.0,lraes,random1_baseline
atrialfibrillation,3,success,lraes,resnet1d,act,0.1666666666666666,0.1574074074074074,-0.0092592592592592,-5.555552222224214,30,30,0.5555555555555555,0.5555555555555555,0.0001284534404973,0.0323737824977971,1.0826010205920802,0.1328386294172024,0.9999999999899996,0.8437962467856867,0.0,0.0,120,120,10,9,0.0,0.0,0.0,lraes,random1_baseline
ering,1,success,lraes,resnet1d,act,0.5424850558740912,0.7672463017065024,0.2247612458324112,41.43177806778135,24,30,0.7777777777777777,0.7777777777777777,0.0001815929521973,0.0013183958344092,1.0953720230112165,0.142176657235264,0.9999999999899996,1.0850636769840405,0.0,0.0,240,240,10,10,0.0,0.0,0.0,lraes,random1_baseline
ering,2,success,lraes,resnet1d,act,0.848105426301868,0.8789310908203087,0.0308256645184407,3.6346496470615928,30,30,0.7777777777777778,1.0,0.0001811566665102,0.001300379877847,1.0992340221326302,0.146495837467058,0.9999999999899996,1.048420083095513,0.0,0.0,240,240,10,10,0.0,0.0,0.0,lraes,random1_baseline
ering,3,success,lraes,resnet1d,act,0.8501737413578302,0.8106087073040967,-0.0395650340537334,-4.653758105582657,30,19,0.7777777777777778,1.0,0.0001811561253267,0.0013511359980358,1.099948368517032,0.1449118931863616,0.9999999999899996,1.0999095086492523,0.0,0.0,240,240,10,10,0.0,0.0,0.0,lraes,random1_baseline
handmovementdirection,1,success,lraes,resnet1d,act,0.2384428967090257,0.2561443021969338,0.017701405487908,7.42374728225264,21,15,0.5395413410119293,0.4328947368421052,0.0002854663668601,1.1123185198411685e-07,1.0793066231093376,0.1406183379732123,0.9999999999899998,0.9899009169526736,0.0,0.0,1280,1280,10,10,0.0,0.0,0.0,lraes,group_top_k1
handmovementdirection,2,success,lraes,resnet1d,act,0.2030680813439434,0.2842173493850323,0.0811492680410888,39.96158704137092,17,30,0.3214285714285714,0.4136363636363636,0.0002854192620571,1.1119706449074365e-07,1.0804468310849678,0.142900996271968,0.9999999999899998,0.987985101412486,0.0,0.0,1280,1280,10,10,0.0,0.0,0.0,lraes,group_top_k1
handmovementdirection,3,success,lraes,resnet1d,act,0.1875628456510809,0.3216826364692218,0.1341197908181408,71.50654962928597,15,11,0.3456896551724138,0.3022727272727272,0.0002854007039868,1.1147975178255509e-07,1.080600715182777,0.1436331156163067,0.9999999999899998,1.0034452843727362,0.0,0.0,1280,1280,10,10,0.0,0.0,0.0,lraes,group_top_k1
handwriting,1,success,lraes,resnet1d,act,0.382737297846506,0.4781905404955675,0.0954532426490614,24.93961739462478,30,26,0.3055555555555555,0.4613333333333333,0.0001568841316546,0.0003235489352724,1.0774903872310453,0.1140818760844415,0.8510652870773736,0.2429830989517447,0.0,0.0,1200,1200,10,10,0.0,0.0,0.0,lraes,group_top_k1
handwriting,2,success,lraes,resnet1d,act,0.4136709560472157,0.4509378671892416,0.0372669111420259,9.008827327230836,30,29,0.3402777777777777,0.4833333333333333,0.0001567777268349,0.0003195908584526,1.0820186710249269,0.1191112118364036,0.8748595264184792,0.2591882417685239,0.0,0.0,1200,1200,10,10,0.0,0.0,0.0,lraes,group_top_k1
handwriting,3,success,lraes,resnet1d,act,0.4038917991696072,0.4529017929827588,0.0490099938131516,12.13443347438141,30,30,0.3305555555555555,0.3805555555555555,0.0001568008445547,0.0003248117467137,1.0829317635824762,0.1190986069659815,0.8676174639843356,0.2621793509247431,0.0,0.0,1200,1200,10,10,0.0,0.0,0.0,lraes,group_top_k1
natops,1,success,lraes,resnet1d,act,0.9373000436629222,0.9603716290295896,0.0230715853666674,2.4614938472648498,18,29,0.972027972027972,0.972027972027972,0.0004449623867946,2.911852048788507,1.261819248427774,0.3947692983416656,0.9999999999899996,5.820767164174551,0.0,0.0,1440,1440,10,10,0.0,0.0,0.0,lraes,group_top_k1
