dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,fallback_count,method_elapsed_sec,transport_error_logeuc_mean,pca_n_components,pca_explained_variance_ratio_sum
handwriting,3,random_cov_state,success,,0.4107489766949844,0.4977499752670696,0.0870009985720852,1200,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,random_unit_z_direction,,0,0,0,37.379672302166,0.0003246335819973,,
handwriting,3,pca_cov_state,success,,0.4107489766949844,0.5016549215845558,0.0909059448895714,1200,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,pca_top_z_direction,,0,0,0,26.232470022980124,0.0003247473114739,6.0,0.9999999403953552
fingermovements,1,random_cov_state,success,,0.6096486838154338,0.5896306676008407,-0.020018016214593,2520,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,random_unit_z_direction,,0,0,0,99.84752885904165,6.712332573998148e-05,,
fingermovements,1,pca_cov_state,success,,0.6096486838154338,0.5793269230769231,-0.0303217607385106,2520,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,pca_top_z_direction,,0,0,0,17.875842099078,6.71257101936391e-05,10.0,0.504786491394043
fingermovements,2,random_cov_state,success,,0.5463252343986289,0.5757575757575757,0.0294323413589467,2520,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,random_unit_z_direction,,0,0,0,54.9945097239688,6.760469643618295e-05,,
fingermovements,2,pca_cov_state,success,,0.5463252343986289,0.595959595959596,0.0496343615609671,2520,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,pca_top_z_direction,,0,0,0,22.819933459162712,6.760535009940372e-05,10.0,0.50169837474823
fingermovements,3,random_cov_state,success,,0.54,0.56,0.02,2520,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,random_unit_z_direction,,0,0,0,17.50088597694412,6.661911466526553e-05,,
fingermovements,3,pca_cov_state,success,,0.54,0.5699569956995699,0.0299569956995698,2520,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,pca_top_z_direction,,0,0,0,25.55359604908153,6.662330017390466e-05,10.0,0.4985973238945007
libras,1,random_cov_state,success,,0.864336266185026,0.8749071595964992,0.0105708934114732,1440,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,random_unit_z_direction,,0,0,0,80.04094956303015,0.252927069200811,,
libras,1,pca_cov_state,success,,0.864336266185026,0.8865065948544212,0.0221703286693951,1440,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,pca_top_z_direction,,0,0,0,21.288685559062287,0.2524311925947033,3.0,1.0
libras,2,random_cov_state,success,,0.9220248994162036,0.9161486468442992,-0.0058762525719044,1440,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,random_unit_z_direction,,0,0,0,8.523653524927795,0.2465716303206272,,
libras,2,pca_cov_state,success,,0.9220248994162036,0.92771977458934,0.0056948751731362,1440,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,pca_top_z_direction,,0,0,0,5.719194015022367,0.2468281630897153,3.0,1.0
libras,3,random_cov_state,success,,0.8872169859126381,0.879669169210461,-0.007547816702177,1440,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,random_unit_z_direction,,0,0,0,15.925517117138952,0.2471081564995613,,
libras,3,pca_cov_state,success,,0.8872169859126381,0.8981326281143215,0.0109156422016833,1440,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,pca_top_z_direction,,0,0,0,24.47807922703214,0.246824380111326,3.0,0.9999999403953552
articularywordrecognition,1,random_cov_state,success,,0.989982608695652,0.989982608695652,0.0,2200,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,random_unit_z_direction,,0,0,0,16.50791427004151,0.0271130358888424,,
articularywordrecognition,1,pca_cov_state,success,,0.989982608695652,0.989982608695652,0.0,2200,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,pca_top_z_direction,,0,0,0,35.80851196986623,0.0271074054461708,10.0,0.6842184066772461
articularywordrecognition,2,random_cov_state,success,,0.9831112192155672,0.9831112192155672,0.0,2200,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,random_unit_z_direction,,0,0,0,38.487608834169805,0.0258814723307986,,
articularywordrecognition,2,pca_cov_state,success,,0.9831112192155672,0.986608452417148,0.003497233201581,2200,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,pca_top_z_direction,,0,0,0,27.35170832485892,0.0258821295714489,10.0,0.6817032694816589
articularywordrecognition,3,random_cov_state,success,,0.9898245059288538,0.9898245059288538,0.0,2200,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,random_unit_z_direction,,0,0,0,46.77384232403711,0.0262029339759996,,
articularywordrecognition,3,pca_cov_state,success,,0.9898245059288538,0.9864853754940712,-0.0033391304347827,2200,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,pca_top_z_direction,,0,0,0,29.14563118503429,0.026203935012643,10.0,0.6834048628807068
ethanolconcentration,1,random_cov_state,success,,0.4720665474405405,0.422371939501059,-0.0496946079394815,2080,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,random_unit_z_direction,,0,0,0,48.654076752020046,5.4270635661146504e-09,,
ethanolconcentration,1,pca_cov_state,success,,0.4720665474405405,0.4397146162483192,-0.0323519311922213,2080,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,pca_top_z_direction,,0,0,0,81.09552739700302,5.4335578567076255e-09,6.0,0.9999999403953552
ethanolconcentration,2,random_cov_state,success,,0.4522823882588035,0.4360321888754223,-0.0162501993833812,2080,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,random_unit_z_direction,,0,0,0,70.5069223321043,5.5978134165859755e-09,,
ethanolconcentration,2,pca_cov_state,success,,0.4522823882588035,0.4443743238369996,-0.0079080644218039,2080,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,pca_top_z_direction,,0,0,0,52.383104944136,5.5954747527263614e-09,6.0,1.0
ethanolconcentration,3,random_cov_state,success,,0.4206886241630294,0.4610493365235325,0.0403607123605031,2080,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,random_unit_z_direction,,0,0,0,30.845369207905605,5.7918120863226235e-09,,
ethanolconcentration,3,pca_cov_state,success,,0.4206886241630294,0.4648255778481232,0.0441369536850937,2080,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,pca_top_z_direction,,0,0,0,32.74755864194594,5.7914492689241815e-09,6.0,0.9999999403953552
natops,1,random_cov_state,success,,0.9164578111946534,0.9155167558434244,-0.000941055351229,1440,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,random_unit_z_direction,,0,0,0,24.900543092982844,2.911407129727777,,
natops,1,pca_cov_state,success,,0.9164578111946534,0.9272727272727272,0.0108149160780738,1440,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,pca_top_z_direction,,0,0,0,21.20195583300665,2.9117163033934617,10.0,0.7684680223464966
natops,2,random_cov_state,success,,0.8847073730894115,0.9086722754449692,0.0239649023555578,1440,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,random_unit_z_direction,,0,0,0,12.967552499147132,2.914525225864006,,
natops,2,pca_cov_state,success,,0.8847073730894115,0.921875,0.0371676269105885,1440,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,pca_top_z_direction,,0,0,0,7.1755701180081815,2.915079182820941,10.0,0.7687193155288696
natops,3,random_cov_state,success,,0.920814479638009,0.9214365881032548,0.0006221084652457,1440,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,random_unit_z_direction,,0,0,0,6.043087271042168,2.9214074390603595,,
natops,3,pca_cov_state,success,,0.920814479638009,0.9326560002532088,0.0118415206151997,1440,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,pca_top_z_direction,,0,0,0,7.271364843007177,2.921629068202888,10.0,0.7715585231781006
basicmotions,1,random_cov_state,success,,1.0,1.0,0.0,320,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,random_unit_z_direction,,0,0,0,3.0790362898260355,0.0074710908403013,,
basicmotions,1,pca_cov_state,success,,1.0,1.0,0.0,320,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,pca_top_z_direction,,0,0,0,4.535707502858713,0.0074650704433975,10.0,0.9967995882034302
basicmotions,2,random_cov_state,success,,1.0,1.0,0.0,320,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,random_unit_z_direction,,0,0,0,2.38239262602292,0.0087748014572617,,
basicmotions,2,pca_cov_state,success,,1.0,1.0,0.0,320,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,pca_top_z_direction,,0,0,0,1.414641743991524,0.0087749805667072,10.0,0.9967847466468812
basicmotions,3,random_cov_state,success,,1.0,1.0,0.0,320,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,random_unit_z_direction,,0,0,0,1.3959653140045702,0.0084575958828494,,
basicmotions,3,pca_cov_state,success,,1.0,1.0,0.0,320,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,pca_top_z_direction,,0,0,0,1.1283423590939492,0.0084523090428181,10.0,0.9971162676811218
