dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,fallback_count,method_elapsed_sec,transport_error_logeuc_mean,pca_n_components,pca_explained_variance_ratio_sum,dba_k,dba_max_iter
epilepsy,1,pca_cov_state,success,,0.9717806041335452,0.978856462179869,0.0070758580463237,1090,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,1.0,30,0,0,3.1885031790006906,0.0041036717963405,6.0,1.0,,
epilepsy,2,pca_cov_state,success,,0.9709217843885812,0.9788059701492536,0.0078841857606724,1090,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,1.0,30,0,0,3.473435328924097,0.0037001433762186,6.0,1.0000001192092896,,
epilepsy,3,pca_cov_state,success,,0.9326363277133825,0.94268232344889,0.0100459957355076,1090,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,1.0,30,0,0,3.626778839970939,0.0038781136788784,6.0,1.0,,
epilepsy,1,random_cov_state,success,,0.9717806041335452,0.9709217843885812,-0.0008588197449639,1090,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,1.0,30,0,0,3.152421975973993,0.0041061373985672,,,,
epilepsy,2,random_cov_state,success,,0.9709217843885812,0.9779508527367592,0.0070290683481779,1090,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,1.0,30,0,0,3.628877929062583,0.0037003697741202,,,,
epilepsy,3,random_cov_state,success,,0.9326363277133825,0.9630047948503176,0.030368467136935,1090,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,1.0,30,0,0,3.760958914994262,0.0038749078115635,,,,
epilepsy,1,raw_aug_jitter,success,,0.9717806041335452,0.9248558789954338,-0.0469247251381115,1090,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_addnoise,1.0,17,0,0,1.7181656999746338,,,,,
epilepsy,2,raw_aug_jitter,success,,0.9709217843885812,0.9646766169154228,-0.0062451674731585,1090,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_addnoise,1.0,30,0,0,3.1280820498941466,,,,,
epilepsy,3,raw_aug_jitter,success,,0.9326363277133825,0.9507042253521129,0.0180678976387302,1090,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_addnoise,1.0,30,0,0,3.0719158650608733,,,,,
ering,1,dba_sameclass,success,,0.5424850558740912,0.7927301429866159,0.2502450871125247,240,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_dba,0.7777777777777777,26,240,240,1.3880365579389036,,,,5.0,5.0
ering,2,dba_sameclass,success,,0.848105426301868,0.8672264955547161,0.019121069252848,240,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_dba,1.0,22,240,240,1.2829498809296638,,,,5.0,5.0
ering,3,dba_sameclass,success,,0.8501737413578302,0.8414960913532203,-0.0086776500046098,240,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_dba,1.0,25,240,240,1.375131419044919,,,,5.0,5.0
ering,1,pca_cov_state,success,,0.5424850558740912,0.8528930220106692,0.3104079661365779,240,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,1.0,27,0,0,1.0163485910743475,0.0013174528043204,10.0,0.9999999403953552,,
ering,2,pca_cov_state,success,,0.848105426301868,0.8701537940854668,0.0220483677835987,240,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,1.0,21,0,0,0.8211013479158282,0.0013016501458047,10.0,0.9999999403953552,,
ering,3,pca_cov_state,success,,0.8501737413578302,0.827486048389814,-0.0226876929680162,240,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,1.0,15,0,0,0.6501811549533159,0.0013507066638475,10.0,0.9999998807907104,,
ering,1,random_cov_state,success,,0.5424850558740912,0.807341689553242,0.2648566336791508,240,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,0.7777777777777777,27,0,0,1.0433497530175373,0.0013172613688911,,,,
ering,2,random_cov_state,success,,0.848105426301868,0.8771350496472868,0.0290296233454188,240,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,1.0,20,0,0,0.7943233279511333,0.0013012439198476,,,,
ering,3,random_cov_state,success,,0.8501737413578302,0.6789918313366403,-0.1711819100211898,240,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,1.0,27,0,0,1.0415106760337949,0.0013502155897947,,,,
ering,1,raw_aug_jitter,success,,0.5424850558740912,0.8138564396193001,0.2713713837452088,240,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_addnoise,0.7777777777777777,30,0,0,0.9516145519446582,,,,,
ering,2,raw_aug_jitter,success,,0.848105426301868,0.8491360165301979,0.0010305902283298,240,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_addnoise,1.0,30,0,0,0.9906025539385156,,,,,
ering,3,raw_aug_jitter,success,,0.8501737413578302,0.8355019140357972,-0.0146718273220329,240,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_addnoise,1.0,29,0,0,0.9294047800358384,,,,,
ethanolconcentration,1,dba_sameclass,success,,0.25302243628668,0.2306672812778716,-0.0223551550088083,2080,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_dba,0.2833333333333333,15,0,0,2647.3062411400024,,,,5.0,5.0
ethanolconcentration,2,dba_sameclass,success,,0.2957462456440558,0.2465131407754358,-0.0492331048686199,2080,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_dba,0.385731189027335,22,0,0,2442.392275881953,,,,5.0,5.0
ethanolconcentration,3,dba_sameclass,success,,0.2886924033855482,0.2986561743341404,0.0099637709485921,2080,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_dba,0.3799019607843137,30,0,0,2463.223397876951,,,,5.0,5.0
ethanolconcentration,1,pca_cov_state,success,,0.25302243628668,0.2346996263937316,-0.0183228098929483,2080,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,0.4690484538836572,12,0,0,13.372178470017388,5.4335578567076255e-09,6.0,0.9999999403953552,,
ethanolconcentration,2,pca_cov_state,success,,0.2957462456440558,0.2742797918527923,-0.0214664537912635,2080,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,0.4239189928845101,14,0,0,14.9164556839969,5.5954747527263614e-09,6.0,1.0,,
ethanolconcentration,3,pca_cov_state,success,,0.2886924033855482,0.2280374887082204,-0.0606549146773278,2080,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,0.2707786836819095,12,0,0,12.877427057013849,5.7914492689241815e-09,6.0,0.9999999403953552,,
ethanolconcentration,1,random_cov_state,success,,0.25302243628668,0.2567404599879404,0.0037180237012603,2080,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,0.4831242532855436,18,0,0,19.38687561696861,5.4270635661146504e-09,,,,
ethanolconcentration,2,random_cov_state,success,,0.2957462456440558,0.2846469652268225,-0.0110992804172333,2080,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,0.3860930735930736,14,0,0,14.947444562916644,5.5978134165859755e-09,,,,
ethanolconcentration,3,random_cov_state,success,,0.2886924033855482,0.2706071338113489,-0.0180852695741993,2080,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,0.424841675800755,27,0,0,27.68799711298197,5.7918120863226235e-09,,,,
ethanolconcentration,1,raw_aug_jitter,success,,0.25302243628668,0.2529133677005173,-0.0001090685861626,2080,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_addnoise,0.4757205513784461,18,0,0,18.35643885296304,,,,,
ethanolconcentration,2,raw_aug_jitter,success,,0.2957462456440558,0.2366132046459915,-0.0591330409980642,2080,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_addnoise,0.3936049801924165,14,0,0,14.357211556052787,,,,,
ethanolconcentration,3,raw_aug_jitter,success,,0.2886924033855482,0.223707487398886,-0.0649849159866622,2080,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_addnoise,0.3098244348244348,28,0,0,28.241220880066976,,,,,
fingermovements,1,dba_sameclass,success,,0.4591346153846154,0.46,0.0008653846153846,2520,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_dba,0.7013018914271678,19,0,0,7.498769487952813,,,,5.0,5.0
fingermovements,2,dba_sameclass,success,,0.537037037037037,0.5584102769971899,0.0213732399601529,2520,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_dba,0.6398336187912894,17,0,0,6.539631130057387,,,,5.0,5.0
fingermovements,3,dba_sameclass,success,,0.4456893501592169,0.4967793880837359,0.0510900379245189,2520,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_dba,0.7290161892901619,21,0,0,7.1103886580094695,,,,5.0,5.0
fingermovements,1,pca_cov_state,success,,0.4591346153846154,0.4967793880837359,0.0376447726991204,2520,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,0.6652552926525529,18,0,0,7.288930308073759,6.71257101936391e-05,10.0,0.504786491394043,,
fingermovements,2,pca_cov_state,success,,0.537037037037037,0.5151515151515151,-0.0218855218855218,2520,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,0.6,12,0,0,5.870281543931924,6.760535009940372e-05,10.0,0.50169837474823,,
fingermovements,3,pca_cov_state,success,,0.4456893501592169,0.54,0.0943106498407831,2520,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,0.6711524345485687,29,0,0,8.95845882606227,6.662330017390466e-05,10.0,0.4985973238945007,,
fingermovements,1,random_cov_state,success,,0.4591346153846154,0.4797919167667067,0.0206573013820912,2520,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,0.6549019607843137,28,0,0,8.773534375010058,6.712332573998148e-05,,,,
fingermovements,2,random_cov_state,success,,0.537037037037037,0.5398159263705482,0.0027788893335112,2520,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,0.6398336187912894,18,0,0,6.951015493948944,6.760469643618295e-05,,,,
fingermovements,3,random_cov_state,success,,0.4456893501592169,0.5073891625615763,0.0616998124023593,2520,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,0.6235294117647059,20,0,0,7.447880585910752,6.661911466526553e-05,,,,
