dataset,method,seed_mean,seed_std,fail_reason_mean,fail_reason_std,base_f1_mean,base_f1_std,aug_f1_mean,aug_f1_std,gain_mean,gain_std,aug_count_mean,aug_count_std,aug_ratio_mean,aug_ratio_std,actual_aug_ratio_mean,actual_aug_ratio_std,train_split_only_mean,train_split_only_std,uses_external_library_mean,uses_external_library_std,budget_matched_mean,budget_matched_std,best_val_f1_mean,best_val_f1_std,stop_epoch_mean,stop_epoch_std,warning_count_mean,warning_count_std,fallback_count_mean,fallback_count_std,method_elapsed_sec_mean,method_elapsed_sec_std,transport_error_logeuc_mean_mean,transport_error_logeuc_mean_std,pca_n_components_mean,pca_n_components_std,pca_explained_variance_ratio_sum_mean,pca_explained_variance_ratio_sum_std,dba_k_mean,dba_k_std,dba_max_iter_mean,dba_max_iter_std
basicmotions,random_cov_state,2.0,1.0,,,1.0,0.0,1.0,0.0,0.0,0.0,320.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,1.2833600383407127,0.1332528478477296,0.008234496060137467,0.0006798863812170297,,,,,,,,
basicmotions,raw_aug_jitter,2.0,1.0,,,1.0,0.0,1.0,0.0,0.0,0.0,320.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,1.1152027890008565,0.11153474704585338,,,,,,,,,,
cricket,dba_sameclass,2.0,1.0,,,0.9906759906759909,0.008074828939714989,0.9860139860139862,7.850462293418876e-17,-0.004662004662004593,0.008074828939715117,860.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,25.666666666666668,7.505553499465135,0.0,0.0,0.0,0.0,412.1315209696768,129.67847838842027,,,,,,,5.0,0.0,5.0,0.0
cricket,pca_cov_state,2.0,1.0,,,0.9906759906759909,0.008074828939714989,0.9860139860139862,7.850462293418876e-17,-0.0046620046620046,0.008074828939714939,860.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,8.84294249738256,0.12852622384160367,0.0129387911610845,0.0007314486048266438,10.0,0.0,0.9754203756650289,0.0009459520485580916,,,,
cricket,random_cov_state,2.0,1.0,,,0.9906759906759909,0.008074828939714989,0.9813843563843565,0.008018753738744838,-0.009291634291634201,0.008046937875877217,860.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,8.834888866636902,0.12422976132592735,0.012932963704151966,0.0007310471282854377,,,,,,,,
cricket,raw_aug_jitter,2.0,1.0,,,0.9906759906759909,0.008074828939714989,0.9906759906759909,0.008074828939714965,6.649773324577761e-17,0.0139860139860139,860.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,8.501087404360684,0.028494910717920274,,,,,,,,,,
epilepsy,dba_sameclass,2.0,1.0,,,0.9584462387451697,0.02235616298563245,0.9787495091972703,4.889661873934022e-05,0.020303270452100633,0.022330945073453706,1090.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,15.618255746356832,0.39072007695820865,,,,,,,5.0,0.0,5.0,0.0
epilepsy,pca_cov_state,2.0,1.0,,,0.9584462387451697,0.02235616298563245,0.9667815852593376,0.020870588209671057,0.0083353465141679,0.0015356070435819961,1090.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,3.4295724492985755,0.22240582929974936,0.0038939762838125,0.00020223133569748948,6.0,0.0,1.00000003973643,6.882551542807229e-08,,,,
epilepsy,random_cov_state,2.0,1.0,,,0.9584462387451697,0.02235616298563245,0.9706258106585527,0.007477423481578774,0.012179571913383001,0.016238276593668943,1090.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,3.514086273343613,0.3200970863739103,0.0038938049947503,0.00020354279380915702,,,,,,,,
epilepsy,raw_aug_jitter,2.0,1.0,,,0.9584462387451697,0.02235616298563245,0.9467455737543231,0.020203365659652514,-0.0117006649908466,0.032837967259368175,1090.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,25.666666666666668,7.505553499465135,0.0,0.0,0.0,0.0,2.6393878716432178,0.798295920858937,,,,,,,,,,
ering,dba_sameclass,2.0,1.0,,,0.7469214078445964,0.1770500945694436,0.8338175766315175,0.037837102528288646,0.08689616878692097,0.1421455030477479,240.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9259259259259259,0.12830005981991688,24.333333333333332,2.081665999466133,240.0,0.0,240.0,0.0,1.3487059526378289,0.05731083123926282,,,,,,,5.0,0.0,5.0,0.0
ering,pca_cov_state,2.0,1.0,,,0.7469214078445964,0.1770500945694436,0.8501776214953166,0.02146308879579797,0.10325621365072013,0.18078776286398537,240.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,21.0,6.0,0.0,0.0,0.0,0.0,0.8292103646478305,0.18321835315582433,0.0013232698713241998,2.5040251436755118e-05,10.0,0.0,0.9999999205271403,3.441275768999911e-08,,,,
ering,random_cov_state,2.0,1.0,,,0.7469214078445964,0.1770500945694436,0.7878228568457231,0.10050334503549231,0.040901449001126605,0.21826155887232662,240.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9259259259259259,0.12830005981991688,24.666666666666668,4.041451884327381,0.0,0.0,0.0,0.0,0.9597279190008218,0.14324752914544137,0.0013229069595111333,2.4969193708221292e-05,,,,,,,,
ering,raw_aug_jitter,2.0,1.0,,,0.7469214078445964,0.1770500945694436,0.8328314567284317,0.017790746005320695,0.08591004888383524,0.16080600587556856,240.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9259259259259259,0.12830005981991688,29.666666666666668,0.5773502691896263,0.0,0.0,0.0,0.0,0.9572072953063374,0.03097984774644647,,,,,,,,,,
ethanolconcentration,dba_sameclass,2.0,1.0,,,0.27915369510542803,0.022903519123516246,0.25861219879581593,0.03557264115144646,-0.020541496309612033,0.02964008341819372,2080.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.3496554943816607,0.05751057954904914,22.333333333333332,7.505553499465136,0.0,0.0,0.0,0.0,2517.6406382996356,112.77570807075205,,,,,,,5.0,0.0,5.0,0.0
ethanolconcentration,pca_cov_state,2.0,1.0,,,0.27915369510542803,0.022903519123516246,0.2456723023182481,0.02499774715323299,-0.03348139278717987,0.023585394700441527,2080.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.38791537681669225,0.10392266702424732,12.666666666666666,1.1547005383792515,0.0,0.0,0.0,0.0,13.722020403676046,1.0635795547694669,5.606827292786057e-09,1.792155848662311e-10,6.0,0.0,0.9999999602635702,3.4412757714036146e-08,,,,
ethanolconcentration,random_cov_state,2.0,1.0,,,0.27915369510542803,0.022903519123516246,0.2706648530087039,0.013953342154883412,-0.008488842096724099,0.011133583905589996,2080.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.43135300089312406,0.04884219972495083,19.666666666666668,6.6583281184793925,0.0,0.0,0.0,0.0,20.674105764289077,6.4670813284952615,5.60556302300775e-09,1.824977069670901e-10,,,,,,,,
ethanolconcentration,raw_aug_jitter,2.0,1.0,,,0.27915369510542803,0.022903519123516246,0.23774468658179826,0.01463577977343868,-0.041409008523629665,0.03588627717316656,2080.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.39304998879843245,0.08294945077281146,20.0,7.211102550927978,0.0,0.0,0.0,0.0,20.31829042969427,7.146892676833081,,,,,,,,,,
fingermovements,dba_sameclass,2.0,1.0,,,0.4806203341936231,0.049318627911133894,0.5050632216936419,0.049725366555947774,0.0244428875000188,0.02525264346598069,2520.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.690050566502873,0.04564347658330413,19.0,2.0,0.0,0.0,0.0,0.0,7.04959642533989,0.482450379895485,,,,,,,5.0,0.0,5.0,0.0
fingermovements,pca_cov_state,2.0,1.0,,,0.4806203341936231,0.049318627911133894,0.517310301078417,0.021691025589232072,0.0366899668847939,0.058103969929511175,2520.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6454692424003738,0.03948775853328983,19.666666666666668,8.621678104251709,0.0,0.0,0.0,0.0,7.3725568926893175,1.5457861384122125,6.711812015564916e-05,4.91068957022021e-07,10.0,0.0,0.5016940633455912,0.0030945860022775482,,,,
fingermovements,random_cov_state,2.0,1.0,,,0.4806203341936231,0.049318627911133894,0.5089990018996103,0.030044369177122478,0.028378667705987234,0.030209823191341682,2520.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.639421663780103,0.015690331041611463,22.0,5.291502622129181,0.0,0.0,0.0,0.0,7.724143484956585,0.9421436514661499,6.711571228047665e-05,4.92834993040672e-07,,,,,,,,
fingermovements,raw_aug_jitter,2.0,1.0,,,0.4806203341936231,0.049318627911133894,0.5092392221424755,0.025067716779161416,0.028618887948852405,0.07426927066337981,2520.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.640483739677288,0.01545705869006213,19.0,1.7320508075688772,0.0,0.0,0.0,0.0,4.1890674900108325,0.4472079891032828,,,,,,,,,,
handmovementdirection,dba_sameclass,2.0,1.0,,,0.20969127456801664,0.026078629474673803,0.35262496501639,0.037151630532860934,0.14293369044837326,0.01802303659691067,1280.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.4814663370971421,0.04765834419153777,27.666666666666668,3.214550253664319,0.0,0.0,0.0,0.0,72.83846099597092,2.94927828405792,,,,,,,5.0,0.0,5.0,0.0
handmovementdirection,pca_cov_state,2.0,1.0,,,0.20969127456801664,0.026078629474673803,0.2976569238271552,0.04837749046066795,0.08796564925913847,0.030635633046443723,1280.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3596262526603084,0.05596876591812937,16.0,4.358898943540674,0.0,0.0,0.0,0.0,3.6103452563208216,0.7041773799083876,1.1130272240498528e-07,1.6027913568021645e-10,10.0,0.0,0.6087093551953634,0.004760533718292486,,,,
handmovementdirection,random_cov_state,2.0,1.0,,,0.20969127456801664,0.026078629474673803,0.2903481591789633,0.040230056358109334,0.08065688461094654,0.050915505053531804,1280.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3538951953619136,0.06087792837076286,22.333333333333332,2.5166114784235836,0.0,0.0,0.0,0.0,4.645605413708836,0.37483684247025356,1.112941324221051e-07,1.538520971255654e-10,,,,,,,,
