dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,fallback_count,method_elapsed_sec,jobda_num_transforms,jobda_transform_subseqs,jobda_cleanroom,jobda_official_code_confirmed,guided_warp_mode,guided_warp_slope_constraint,guided_warp_use_window,guided_warp_dtw_value_mean,guided_warp_amount_mean,guided_warp_cleanroom_adapter,guided_warp_batch_size,guided_warp_positive_batch,guided_warp_negative_batch,guided_warp_use_variable_slice,guided_warp_score_mean
handwriting,1,jobda_cleanroom,success,,0.382737297846506,0.32318731064631684,-0.05954998720018917,360,3.0,3.0,raw_time_tsw,joint_hard,resnet1d,True,False,none,False,jobda_cleanroom_tsw_joint_label,0.35555555555555557,30,0,0,1.2980786039843224,4.0,"0,2,4,8",1.0,0.0,,,,,,,,,,,
handwriting,1,rgw_sameclass,success,,0.382737297846506,0.4561131120455505,0.07337581419904449,1200,10.0,10.0,dtw_guided_warp,hard,resnet1d,True,False,none,True,random_guided_warp_same_class_dtw_cleanroom,0.3974206349206349,15,0,0,6.247705455985852,,,,,rgw,symmetric,1.0,175.9727249366412,570.0757284768213,1.0,,,,,
handwriting,1,dgw_sameclass,success,,0.382737297846506,0.44250340578498815,0.05976610793848214,1200,10.0,10.0,dtw_guided_warp,hard,resnet1d,True,False,none,True,discriminative_guided_warp_same_class_dtw_cleanroom,0.2786666666666667,21,0,0,69.55237349896925,,,,,dgw,symmetric,1.0,174.3192184666187,573.5944701986755,1.0,6.0,3.0,3.0,1.0,53.908801698752065
handwriting,2,jobda_cleanroom,success,,0.4136709560472157,0.39351728509374895,-0.020153670953466762,360,3.0,3.0,raw_time_tsw,joint_hard,resnet1d,True,False,none,False,jobda_cleanroom_tsw_joint_label,0.4222222222222222,30,0,0,1.4013234800077043,4.0,"0,2,4,8",1.0,0.0,,,,,,,,,,,
handwriting,2,rgw_sameclass,success,,0.4136709560472157,0.4701432268689952,0.05647227082177947,1200,10.0,10.0,dtw_guided_warp,hard,resnet1d,True,False,none,True,random_guided_warp_same_class_dtw_cleanroom,0.40138888888888885,22,0,0,6.96426157996757,,,,,rgw,symmetric,1.0,177.95009575479136,573.64103200883,1.0,,,,,
handwriting,2,dgw_sameclass,success,,0.4136709560472157,0.34272057385013033,-0.07095038219708538,1200,10.0,10.0,dtw_guided_warp,hard,resnet1d,True,False,none,True,discriminative_guided_warp_same_class_dtw_cleanroom,0.3416666666666666,13,0,0,68.44407720700838,,,,,dgw,symmetric,1.0,182.92362565832684,587.470165562914,1.0,6.0,3.0,3.0,1.0,50.04101668603237
handwriting,3,jobda_cleanroom,success,,0.4038917991696072,0.32522171208518047,-0.07867008708442674,360,3.0,3.0,raw_time_tsw,joint_hard,resnet1d,True,False,none,False,jobda_cleanroom_tsw_joint_label,0.3296296296296296,28,0,0,1.2007842140155844,4.0,"0,2,4,8",1.0,0.0,,,,,,,,,,,
handwriting,3,rgw_sameclass,success,,0.4038917991696072,0.3416181844038451,-0.0622736147657621,1200,10.0,10.0,dtw_guided_warp,hard,resnet1d,True,False,none,True,random_guided_warp_same_class_dtw_cleanroom,0.33240740740740743,13,0,0,5.962968670995906,,,,,rgw,symmetric,1.0,177.51828850446944,552.8952980132451,1.0,,,,,
handwriting,3,dgw_sameclass,success,,0.4038917991696072,0.39363965979052334,-0.010252139379083869,1200,10.0,10.0,dtw_guided_warp,hard,resnet1d,True,False,none,True,discriminative_guided_warp_same_class_dtw_cleanroom,0.38055555555555554,16,0,0,68.80953946599038,,,,,dgw,symmetric,1.0,180.9103629922441,579.1027869757175,1.0,6.0,3.0,3.0,1.0,51.24650788960358
japanesevowels,1,jobda_cleanroom,success,,0.9561456014766324,0.9852741257079963,0.029128524231363917,648,3.0,3.0,raw_time_tsw,joint_hard,resnet1d,True,False,none,False,jobda_cleanroom_tsw_joint_label,0.9813519813519815,30,0,0,2.01667737896787,4.0,"0,2,4,8",1.0,0.0,,,,,,,,,,,
