anchor_index,tid,class_id,candidate_order,direction_id,sign,gamma_requested,gamma_used,direction_norm,safe_upper_bound,safe_radius_ratio,manifold_margin,algo,engine_id,direction_bank_source,transport_error_fro,transport_error_logeuc,bridge_cond_A,metric_preservation_error,margin_aug,feedback_weight,osf_direction_id_lraes,osf_direction_id_zpia,osf_sign_lraes,osf_sign_zpia,osf_gamma_used_lraes,osf_gamma_used_zpia,osf_r_shared,osf_alpha_eff,osf_structure_norm_raw,osf_structure_norm_eff,osf_risk_norm_restored,osf_risk_budget,osf_risk_scale,osf_final_norm,osf_structure_overflow,osf_risk_status
7,ering_train_18,4,0,7,-1.0,0.1,0.1,0.9999999403953552,0.4545561920149784,0.3111197295897053,0.9091123298435452,adaptive,osf_fused,orthogonal_fusion,0.00018934594152252224,0.0005919718647573712,1.1317972963658096,0.21108451728067532,-0.10381196439266205,0.4740702915948558,7,7,-1.0,-1.0,0.1,0.1,0.4545561649217726,1.0,0.10000004617972387,0.10000004617972387,0.09999999905580682,0.4434200016152212,1.0,0.14142139111410648,False,restored
7,ering_train_18,4,1,2,1.0,0.1,0.1,1.0,0.454556164921318,0.3111196148700017,0.9091123298435452,adaptive,osf_fused,orthogonal_fusion,0.0001834586212698954,0.0005930901071527717,1.1288619010711705,0.1960796462112895,-0.0965614840388298,0.4758783688273173,2,2,1.0,1.0,0.1,0.1,0.4545561649217726,1.0,0.09999999212972727,0.09999999212972727,0.09999997193765245,0.443420013804569,1.0,0.14142133896755799,False,restored
19,ering_train_19,5,0,9,-1.0,0.1,0.1,1.0,0.9868315109754967,0.14330851754844728,1.9736630219529672,adaptive,osf_fused,orthogonal_fusion,0.00018885208482143358,0.004185767672156702,1.2280787110442395,0.31240382569623915,-0.013817518949508667,0.4965456752218577,9,9,-1.0,-1.0,0.1,0.1,0.9868315109764836,1.0,0.10000004645405365,0.10000004645405365,0.09999997428508471,0.9817517108542856,1.0,0.14142136090827745,False,restored
19,ering_train_19,5,1,0,-1.0,0.1,0.1,1.0,0.9868315109754967,0.14330851153537671,1.9736630219529672,adaptive,osf_fused,orthogonal_fusion,0.00019050829833747385,0.004210930891175161,1.1388214244088735,0.21266643157549367,-0.014441192150115967,0.4963897647045413,0,0,-1.0,-1.0,0.1,0.1,0.9868315109764836,1.0,0.09999999911967755,0.09999999911967755,0.09999998422838169,0.981751715675707,1.0,0.14142135497438993,False,restored
3,ering_train_21,5,0,9,1.0,0.1,0.1,1.0,0.8450189880331908,0.1673587692380972,1.6900379760680717,adaptive,osf_fused,orthogonal_fusion,0.00018136605851611301,0.0033951463085116697,1.2052264506739372,0.27299315656005035,-0.013563096523284912,0.49660927784810827,9,9,1.0,1.0,0.1,0.1,0.8450189880340359,1.0,0.0999999869260687,0.0999999869260687,0.1000000011617705,0.8390811002238414,1.0,0.14142133782036598,False,restored
3,ering_train_21,5,1,0,-1.0,0.1,0.1,1.0,0.8450189880331908,0.16735880800893724,1.6900379760680717,adaptive,osf_fused,orthogonal_fusion,0.00019047061840098703,0.003485201224965132,1.1378472088641105,0.21120414376712837,-0.016572430729866028,0.495856987138739,0,0,-1.0,-1.0,0.1,0.1,0.8450189880340359,1.0,0.1000000154321989,0.1000000154321989,0.0999999899889959,0.839081096826538,1.0,0.14142137058246199,False,restored
17,ering_train_22,0,0,2,1.0,0.1,0.1,1.0,0.4026921904397474,0.35118970586245807,0.8053843808803003,adaptive,osf_fused,orthogonal_fusion,0.00018368123852738932,0.0005432515853975704,1.1373816814294029,0.2053776258319416,-0.007603533565998077,0.4980991257665429,2,2,1.0,1.0,0.1,0.1,0.40269219044015014,1.0,0.09999999425693908,0.09999999425693908,0.09999998811968706,0.39007819907051755,1.0,0.14142135191413646,False,restored
17,ering_train_22,0,1,6,-1.0,0.1,0.1,1.0,0.4026921904397474,0.3511898903939671,0.8053843808803003,adaptive,osf_fused,orthogonal_fusion,0.00018093045709425824,0.0005310317865166181,1.1446355570845845,0.19013324235445803,-0.004249759018421173,0.49893756184440363,6,6,-1.0,-1.0,0.1,0.1,0.40269219044015014,1.0,0.09999998744351017,0.09999998744351017,0.09999998990443579,0.3900782008172002,1.0,0.14142142622353404,False,restored
14,ering_train_23,4,0,6,1.0,0.1,0.1,1.0,0.6789281214436932,0.20830103113356482,1.3578562428887444,adaptive,osf_fused,orthogonal_fusion,0.0001840670594066524,0.0007978244062767073,1.1600143687946114,0.21615329974497632,-0.09135778993368149,0.47717642457302045,6,6,1.0,1.0,0.1,0.1,0.6789281214443722,1.0,0.09999996323782763,0.09999996323782763,0.1000000162866994,0.6715231950129625,1.0,0.14142142776264516,False,restored
14,ering_train_23,4,1,6,-1.0,0.1,0.1,1.0,0.6789281214436932,0.20830105615124853,1.3578562428887444,adaptive,osf_fused,orthogonal_fusion,0.0001814240798728438,0.0007899982943478228,1.1602769345204003,0.21076146542195695,-0.09502135962247849,0.47626251800058306,6,6,-1.0,-1.0,0.1,0.1,0.6789281214443722,1.0,0.10000001779714066,0.10000001779714066,0.09999998574820396,0.6715231868882532,1.0,0.14142144474785415,False,restored
