dataset,seed,aug_f1_a,aug_f1_b,base_f1_a,gain_a,gain_b,delta
har,1,0.9508147535274212,0.9561630600825182,0.9355290262377642,0.015285727289656936,0.02063403384475393,-0.005348306555096993
har,2,0.9578174162272852,0.9507032156172932,0.934283916923308,0.02353349930397719,0.016419298693985174,0.007114200609992016
har,3,0.9574753499928174,0.9511105290291744,0.9348718872533844,0.022603462739432922,0.01623864177578993,0.006364820963642992
heartbeat,1,0.6479175611850579,0.6273164438189068,0.6549286291408565,-0.007011067955798533,-0.027612185321949645,0.02060111736615111
heartbeat,2,0.6884776973272548,0.5628997867803838,0.6354209417494323,0.05305675557782252,-0.07252115496904854,0.12557791054687106
heartbeat,3,0.6299257272539716,0.5858984224701809,0.6687314839752222,-0.03880575672125064,-0.08283306150504133,0.04402730478379069
japanesevowels,1,0.977748412110884,0.9627034640761972,0.9561456014766324,0.021602810634251624,0.006557862599564812,0.015044948034686811
japanesevowels,2,0.9720074904623128,0.968010015945806,0.9741476029508114,-0.0021401124884985467,-0.006137587005005329,0.003997474516506783
japanesevowels,3,0.9858464973490269,0.9798297053132424,0.9681596726696928,0.017686824679334023,0.0116700326435496,0.006016792035784424
libras,1,0.836057134011157,0.9091288824452242,0.8667137210615472,-0.030656587050390205,0.04241516138367696,-0.07307174843406716
libras,2,0.9338687882166142,0.9444059772755424,0.0190341332066207,0.9148346550099935,0.9253718440689217,-0.010537189058928198
libras,3,0.8325523912480434,0.8289065638013745,0.7957431716788879,0.036809219569155505,0.033163392122486646,0.003645827446668859
motorimagery,1,0.3710691823899371,0.4498975299320462,0.4025735294117647,-0.03150434702182764,0.04732400052028146,-0.0788283475421091
motorimagery,2,0.4832575444398512,0.4047619047619047,0.4091067083767813,0.07415083606306988,-0.004344803614876602,0.07849563967794648
motorimagery,3,0.4916485112563544,0.5985547972701726,0.4967793880837359,-0.005130876827381503,0.10177540918643668,-0.10690628601381819
natops,1,0.966476799110864,0.972152603731551,0.9373000436629222,0.02917675544794185,0.0348525600686288,-0.005675804620686953
natops,2,0.96107248923737,0.9265130465331672,0.9070392331641024,0.05403325607326759,0.01947381336906484,0.03455944270420275
natops,3,0.9550596329553824,0.9551570418780396,0.920588320022504,0.03447131293287842,0.03456872185553561,-9.740892265719392e-05
pendigits,1,0.987749154904494,0.9872174026483732,0.9857407704625456,0.0020083844419483965,0.0014766321858276088,0.0005317522561207877
pendigits,2,0.98091578172242,0.99051190301744,0.9815965953307092,-0.0006808136082891991,0.008915307686730767,-0.009596121295019966
pendigits,3,0.9870611976712284,0.985891356808286,0.9817358708901702,0.005325326781058126,0.004155485918115764,0.0011698408629423618
racketsports,1,0.8836541979147613,0.8644622412228047,0.8656212251404092,0.01803297277435212,-0.0011589839176044947,0.019191956691956613
racketsports,2,0.88329945799458,0.872829417773238,0.8588293650793651,0.024470092915214847,0.014000052693872833,0.010470040221342014
racketsports,3,0.8963906898179199,0.9023612261806132,0.8843719087962982,0.012018781021621683,0.017989317384314973,-0.005970536362693291
selfregulationscp2,1,0.5112206997721527,0.5475113122171945,0.3849097867687261,0.12631091300342656,0.1626015254484684,-0.03629061244504184
selfregulationscp2,2,0.4247773882287239,0.4666498549993695,0.4562610943290461,-0.031483706100322195,0.010388760670323405,-0.0418724667706456
selfregulationscp2,3,0.4554883318928263,0.5244755244755245,0.5110507470058032,-0.05556241511297694,0.01342477746972126,-0.0689871925826982
uwavegesturelibrary,1,0.801652632549187,0.8174768528732801,0.7495563358211801,0.05209629672800686,0.0679205170521,-0.01582422032409314
uwavegesturelibrary,2,0.7654762492258662,0.8113706145253297,0.7165712186127566,0.04890503061310958,0.09479939591257303,-0.04589436529946345
uwavegesturelibrary,3,0.8029484355125502,0.7853198859373558,0.6619287350644507,0.14101970044809953,0.12339115087290509,0.01762854957519444
