dataset,method,seed_mean,seed_std,fail_reason_mean,fail_reason_std,base_f1_mean,base_f1_std,aug_f1_mean,aug_f1_std,gain_mean,gain_std,aug_count_mean,aug_count_std,aug_ratio_mean,aug_ratio_std,actual_aug_ratio_mean,actual_aug_ratio_std,train_split_only_mean,train_split_only_std,uses_external_library_mean,uses_external_library_std,budget_matched_mean,budget_matched_std,best_val_f1_mean,best_val_f1_std,stop_epoch_mean,stop_epoch_std,warning_count_mean,warning_count_std,fallback_count_mean,fallback_count_std,method_elapsed_sec_mean,method_elapsed_sec_std,mixup_alpha_mean,mixup_alpha_std,manifold_mixup_alpha_mean,manifold_mixup_alpha_std
ering,manifold_mixup,2.0,1.0,,,0.7469214078445964,0.1770500945694436,0.8466170753488247,0.0373563124251729,0.09969566750422813,0.1397430548286005,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9259259259259259,0.12830005981991688,29.666666666666668,0.5773502691896263,0.0,0.0,0.0,0.0,0.43081026202222955,0.02003248171800691,,,0.4000000000000001,0.0
ering,raw_mixup,2.0,1.0,,,0.7469214078445964,0.1770500945694436,0.8188850184173725,0.039442666779172915,0.071963610572776,0.17412370642098998,240.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.8518518518518517,0.12830005981991685,21.666666666666668,7.371114795831994,0.0,0.0,0.0,0.0,0.6199905909985924,0.1923530219938474,0.4000000000000001,0.0,,
ethanolconcentration,manifold_mixup,2.0,1.0,,,0.27915369510542803,0.022903519123516246,0.2766256252355681,0.03836206050815357,-0.0025280698698598677,0.026908582591262883,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3996686786589783,0.06786810458823156,27.333333333333332,3.0550504633038935,0.0,0.0,0.0,0.0,4.983653865987435,0.5455818964308214,,,0.4000000000000001,0.0
ethanolconcentration,raw_mixup,2.0,1.0,,,0.27915369510542803,0.022903519123516246,0.27168521806885804,0.011480437643393057,-0.007468477036569967,0.014489339102402883,2080.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.41749823924536195,0.006974929616733271,23.0,5.5677643628300215,0.0,0.0,0.0,0.0,22.050934056014132,5.256940574186046,0.4000000000000001,0.0,,
fingermovements,manifold_mixup,2.0,1.0,,,0.4806203341936231,0.049318627911133894,0.5207967969209089,0.0798754401188978,0.040176462727285735,0.07700009693593202,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6455173359173781,0.024787443322534238,22.0,7.211102550927978,0.0,0.0,0.0,0.0,0.810435741324909,0.26062779244204165,,,0.4000000000000001,0.0
fingermovements,raw_mixup,2.0,1.0,,,0.4806203341936231,0.049318627911133894,0.5702891519724985,0.016528581192150532,0.08966881777887532,0.065731558185137,2520.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6841450035890791,0.011767978050754668,20.333333333333332,5.686240703077327,0.0,0.0,0.0,0.0,4.102059815001364,1.1384146676873312,0.4000000000000001,0.0,,
handmovementdirection,manifold_mixup,2.0,1.0,,,0.20969127456801664,0.026078629474673803,0.2564809330800715,0.01842688010985435,0.046789658512054834,0.015651369668822936,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.47360337884298037,0.10187945963379184,27.0,3.605551275463989,0.0,0.0,0.0,0.0,0.8270012583040321,0.11225212663527646,,,0.4000000000000001,0.0
handmovementdirection,raw_mixup,2.0,1.0,,,0.20969127456801664,0.026078629474673803,0.21315913469358572,0.07213036881963622,0.003467860125568967,0.054657871977964394,1280.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3612351760627623,0.07852590361154942,16.333333333333332,4.509249752822893,0.0,0.0,0.0,0.0,2.1439366253713765,0.5851841859889533,0.4000000000000001,0.0,,
handwriting,manifold_mixup,2.0,1.0,,,0.4001000176877763,0.01581157827429161,0.3724243567633738,0.008633628008414943,-0.027675660924402396,0.022679978548051136,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3417328042328042,0.0597315598529154,30.0,0.0,0.0,0.0,0.0,0.0,0.6022413803342109,0.011137631711654777,,,0.4000000000000001,0.0
handwriting,raw_mixup,2.0,1.0,,,0.4001000176877763,0.01581157827429161,0.3597628913762043,0.04007175081421775,-0.040337126311571936,0.03886604054101267,1200.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3527116402116402,0.10042453138420558,20.666666666666668,7.637626158259734,0.0,0.0,0.0,0.0,2.0842982473550364,0.9649844971983863,0.4000000000000001,0.0,,
