dataset,seed,method,n_train,z_dim,n_classes,tangent_available_rate,insufficient_neighbor_count,fallback_count,selected_alignment_mean,selected_alignment_std,random_alignment_mean,random_alignment_std,pca_alignment_mean,pca_alignment_std,selected_minus_random_alignment,selected_minus_pca_alignment,selected_normal_leakage_mean,random_normal_leakage_mean,pca_normal_leakage_mean,actual_candidate_audit_available,audit_source,top1_alignment_mean,top5_alignment_mean,top5_alignment_std_mean,selected_alignment_rank_within_top5_mean,selected_alignment_minus_top5_mean,top5_response_mean,top5_response_std_mean,k_neighbors,tangent_dim_policy,explained_var_threshold,max_tangent_dim
atrialfibrillation,3,random_cov_state,12,3,3,1.0,0,0,,,0.4527235796746822,0.3120171688932068,,,,,,0.5472764203253178,,False,policy_replay,0.598767240698415,0.5187627087726522,0.1784786847765015,,,0.787991392021286,0.1655339589803609,8,auto,0.9,10
ering,1,csta_top1_current,24,10,6,1.0,0,0,0.1800415699884028,0.1660130256934085,0.1965883052213321,0.1633060846075107,0.1958333333327458,0.2311751600467794,-0.0165467352329293,-0.015791763344343,0.8199584300115972,0.8034116947786678,0.8041666666672541,False,policy_replay,0.1800415699884027,0.1828894097658659,0.1368594497322815,3.0,-0.0028478397774631,0.5769491513833028,0.1603230979676114,8,auto,0.9,10
ering,1,csta_topk_uniform_top5,24,10,6,1.0,0,0,0.1946629722979104,0.1875209725796495,0.1965883052213321,0.1633060846075107,0.1958333333327458,0.2311751600467794,-0.0019253329234216,-0.0011703610348353,0.8053370277020895,0.8034116947786678,0.8041666666672541,True,actual_candidate_audit,0.1800415699884027,0.1828894097658659,0.1368594497322815,3.25,0.0117735625320445,0.5769491513833028,0.1603230979676114,8,auto,0.9,10
ering,1,pca_cov_state,24,10,6,1.0,0,0,,,,,0.1958333333327458,0.2311751600467794,,,,,0.8041666666672541,False,policy_replay,0.1800415699884028,0.1828894097658659,0.1368594497322815,,,0.5769491513833029,0.1603230979676114,8,auto,0.9,10
ering,1,random_cov_state,24,10,6,1.0,0,0,,,0.1965883052213321,0.1633060846075107,,,,,,0.8034116947786678,,False,policy_replay,0.1800415699884028,0.1828894097658659,0.1368594497322815,,,0.5769491513833029,0.1603230979676114,8,auto,0.9,10
ering,2,csta_top1_current,24,10,6,1.0,0,0,0.1902838623974182,0.1430120713438021,0.194568811212163,0.1690599672034848,0.1833333333327833,0.2187465271157292,-0.0042849488147448,0.0069505290646349,0.8097161376025818,0.8054311887878369,0.8166666666672168,False,policy_replay,0.1902838623974182,0.2031112350114377,0.1350883150484617,3.0,-0.0128273726140194,0.6121665316188828,0.2190626667371502,8,auto,0.9,10
ering,2,csta_topk_uniform_top5,24,10,6,1.0,0,0,0.1649253528645101,0.1305823448847495,0.194568811212163,0.1690599672034848,0.1833333333327833,0.2187465271157292,-0.0296434583476529,-0.0184079804682731,0.83507464713549,0.8054311887878369,0.8166666666672168,True,actual_candidate_audit,0.1902838623974182,0.2031112350114377,0.1350883150484617,3.2916666666666665,-0.0381858821469276,0.6121665316188828,0.2190626667371502,8,auto,0.9,10
ering,2,pca_cov_state,24,10,6,1.0,0,0,,,,,0.1833333333327833,0.2187465271157292,,,,,0.8166666666672168,False,policy_replay,0.1902838623974182,0.2031112350114377,0.1350883150484617,,,0.6121665316188827,0.2190626667371502,8,auto,0.9,10
ering,2,random_cov_state,24,10,6,1.0,0,0,,,0.194568811212163,0.1690599672034848,,,,,,0.8054311887878369,,False,policy_replay,0.1902838623974182,0.2031112350114377,0.1350883150484617,,,0.6121665316188827,0.2190626667371502,8,auto,0.9,10
ering,3,csta_top1_current,24,10,6,1.0,0,0,0.178145165443727,0.1316250139412152,0.1985850423363561,0.157937436081746,0.1916666666660916,0.2162007783340824,-0.0204398768926291,-0.0135215012223646,0.8218548345562731,0.8014149576636439,0.8083333333339083,False,policy_replay,0.1781451654437269,0.173374672346835,0.1172872180243096,3.208333333333333,0.0047704930968919,0.5912372060365205,0.1892764777907397,8,auto,0.9,10
