dataset,seed,csta_topk_uniform_top5,no_aug,pca_cov_state,random_cov_state,delta_csta,delta_random,delta_pca
har,1,0.9676499650724532,0.9574801581575718,0.9572167616949776,0.9678689463844438,0.01016980691488134,0.010388788226871948,-0.000263396462594212
har,2,0.9649601533162256,0.9539423947709132,0.9728868552310984,0.9652210499652192,0.011017758545312395,0.011278655194305931,0.018944460460185164
har,3,0.9663832974106944,0.951104081119632,0.9702767092838316,0.97570211956217,0.015279216291062436,0.02459803844253805,0.019172628164199623
heartbeat,1,0.6124515364157775,0.6076775864009907,0.6279491833030852,0.5239938080495355,0.004773950014786865,-0.08368377835145513,0.02027159690209457
heartbeat,2,0.6296774193548387,0.5883534136546185,0.6115953012504737,0.5833476867959627,0.04132400570022021,-0.005005726858655746,0.023241887595855215
heartbeat,3,0.6147894329612027,0.4659663865546218,0.6066968325791855,0.5769072010206762,0.1488230464065809,0.11094081446605436,0.1407304460245637
japanesevowels,1,0.9688071013954151,0.969813647915057,0.9791033750103092,0.9767705987818288,-0.0010065465196418266,0.006956950866771838,0.00928972709525222
japanesevowels,2,0.9700673093527948,0.9637876814987356,0.9621400164658944,0.9546208213258148,0.006279627854059222,-0.009166860172920788,-0.0016476650328411946
japanesevowels,3,0.9806196419448896,0.9744989160637186,0.9830489454275858,0.9824409439423912,0.006120725881170963,0.007942027878672597,0.008550029363867173
libras,1,0.8608407051885313,0.752222925128296,0.8715094760312152,0.8741020686238076,0.10861778006023526,0.12187914349551154,0.11928655090291918
libras,2,0.9098591263808654,0.7573398473923213,0.8981907947125338,0.8981907947125338,0.15251927898854412,0.14085094732021253,0.14085094732021253
libras,3,0.8831881955939926,0.674807984419284,0.847165401426271,0.8786973925624599,0.20838021117470862,0.2038894081431759,0.17235741700698692
motorimagery,1,0.5,0.3288590604026846,0.3288590604026846,0.5586380832282472,0.1711409395973154,0.22977902282556256,0.0
motorimagery,2,0.6457131288591963,0.5993589743589745,0.5941558441558441,0.6394230769230769,0.046354154500221845,0.04006410256410242,-0.005203130203130346
motorimagery,3,0.5601023017902813,0.3333333333333333,0.3743099006256901,0.5191815856777494,0.226768968456948,0.1858482523444161,0.04097656729235677
natops,1,0.9272727272727272,0.9443826473859844,0.9443175875225712,0.9219226159904128,-0.017109920113257182,-0.022460031395571622,-6.505986341320824e-05
natops,2,0.9503771116862876,0.9337613985528792,0.8956881115337487,0.9166178522910758,0.016615713133408372,-0.017143546261803366,-0.038073287019130486
natops,3,0.8252229206408771,0.9499490187145668,0.933662875290926,0.9444444444444444,-0.12472609807368973,-0.005504574270122409,-0.016286143423640875
pendigits,1,0.9818854917713128,0.9829125604356126,0.981315567540648,0.984470584148084,-0.0010270686642998017,0.0015580237124713792,-0.0015969928949646217
pendigits,2,0.981321304570456,0.9803115442518668,0.9848320485332162,0.9839306850507678,0.0010097603185891257,0.0036191407989009106,0.0045205042813493135
pendigits,3,0.982821018882732,0.981963153835481,0.9824936402392378,0.9825687124156086,0.0008578650472509386,0.0006055585801275631,0.0005304864037567469
racketsports,1,0.8094883788669288,0.6913950159307671,0.7572423611995952,0.7513187737781679,0.11809336293616168,0.05992375784740078,0.06584734526882807
racketsports,2,0.8020775750875253,0.7102047652655219,0.7905918282630611,0.7905918282630611,0.09187280982200341,0.08038706299753917,0.08038706299753917
racketsports,3,0.8161907536907537,0.7147621826773445,0.7983224760877725,0.7983224760877725,0.10142857101340919,0.08356029341042803,0.08356029341042803
selfregulationscp2,1,0.5561659227816098,0.4038018433179723,0.491404255319149,0.4956260251503553,0.1523640794636375,0.091824181832383,0.08760241200117669
selfregulationscp2,2,0.5437904815544916,0.5600111389585074,0.5594659066265993,0.5535714285714286,-0.016220657404015792,-0.006439710387078801,-0.0005452323319080632
selfregulationscp2,3,0.536244791501002,0.5975655198112035,0.5488721804511278,0.5541795665634675,-0.06132072831020152,-0.043385953247736087,-0.048693339360075694
uwavegesturelibrary,1,0.9348181996627172,0.9181638802590956,0.9263803860287194,0.920696000636885,0.01665431940362161,0.002532120377789382,0.00821650576962385
uwavegesturelibrary,2,0.915045658595492,0.9184715406445128,0.904731419326455,0.9017997503339896,-0.003425882049020723,-0.016671790310523127,-0.013740121318057796
uwavegesturelibrary,3,0.912034648292762,0.8952083131021819,0.8961385676845952,0.8962391434553125,0.01682633519058019,0.001030830353130674,0.000930254582413359
